City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Torbay,CA,47.6666,-52.7314,270.14,91,75,3.09,light shower snow
79,General Roca,AR,-39.0333,-67.5833,301.27,12,78,8.63,broken clouds
80,Barrow,US,71.2906,-156.7887,248.16,77,0,7.72,clear sky
81,Touros,BR,-5.1989,-35.4608,299.38,74,41,5.17,scattered clouds
82,Jamestown,US,42.097,-79.2353,273.95,49,100,0.0,overcast clouds
83,Kaitangata,NZ,-46.2817,169.8464,285.87,89,100,3.81,overcast clouds
84,Manali,IN,13.1667,80.2667,295.2,83,10,3.32,clear sky
85,Bibiani,GH,6.4635,-2.3194,293.76,79,2,0.57,clear sky
86,Calama,CL,-22.4667,-68.9333,292.42,11,0,9.26,clear sky
87,Grindavik,IS,63.8424,-22.4338,275.41,80,75,4.12,broken clouds
88,Kapoeta,SS,4.7717,33.5903,299.97,35,15,2.42,few clouds
89,East London,ZA,-33.0153,27.9116,296.02,93,5,0.83,clear sky
90,Chokurdakh,RU,70.6333,147.9167,228.09,100,74,0.79,broken clouds
91,Nānākuli,US,21.3906,-158.1547,302.12,42,0,6.69,clear sky
92,Kaoma,ZM,-14.7833,24.8,291.44,95,100,1.72,light rain
93,Kimbe,PG,-5.5502,150.1429,303.05,67,97,0.69,overcast clouds
94,Butaritari,KI,3.0707,172.7902,300.44,76,8,6.49,light rain
95,Baisha,CN,26.5222,110.9311,282.85,68,8,1.14,clear sky
96,Chapais,CA,49.7834,-74.8492,252.03,100,84,1.47,broken clouds
97,Altay,CN,47.8667,88.1167,262.66,96,100,0.9,overcast clouds
98,Asău,RO,46.4333,26.4,278.86,99,100,2.2,light rain
99,Conceição das Alagoas,BR,-19.9147,-48.3883,297.03,89,98,2.62,overcast clouds
100,Saint George,US,37.1041,-113.5841,283.68,86,100,11.32,heavy intensity rain
101,Wolverhampton,GB,52.5855,-2.123,282.75,88,100,0.89,overcast clouds
102,Osakarovka,KZ,50.565,72.5692,239.43,100,63,3.16,broken clouds
103,Lagoa,PT,39.05,-27.9833,287.78,59,77,3.65,broken clouds
104,Maraã,BR,-1.8333,-65.3667,296.15,96,96,1.58,overcast clouds
105,Jati,PK,24.3539,68.2671,291.45,88,0,3.46,clear sky
106,Cayambe,EC,0.05,-78.1333,282.74,95,98,0.82,light rain
107,Adrar,MR,20.5022,-10.0711,291.51,11,100,6.05,overcast clouds
108,Aswān,EG,24.0934,32.907,286.8,51,0,3.65,clear sky
109,Bima,ID,-8.4667,118.7167,300.26,76,86,1.35,overcast clouds
110,Cherskiy,RU,68.75,161.3,241.21,99,100,0.78,overcast clouds
111,Tchibanga,GA,-2.85,11.0333,294.5,98,41,0.76,light rain
112,Biak,ID,-0.9131,122.8766,298.69,78,100,0.49,overcast clouds
113,Glendive,US,47.1053,-104.7125,272.94,86,0,1.54,clear sky
114,Isla Mujeres,MX,21.2311,-86.731,296.18,74,13,4.31,few clouds
115,Crestview,US,30.7621,-86.5705,288.3,68,0,3.09,clear sky
116,Thompson,CA,55.7435,-97.8558,261.44,96,100,2.53,overcast clouds
117,Kapaa,US,22.0752,-159.319,300.14,66,100,2.57,overcast clouds
118,Carnarvon,AU,-24.8667,113.6333,297.57,53,0,7.17,clear sky
119,San Andrés,CO,12.5847,-81.7006,300.16,78,20,5.14,few clouds
120,Kibala,TD,9.1104,18.3463,295.39,21,90,2.45,overcast clouds
121,Gornoye Loo,RU,43.7129,39.6049,273.03,48,20,1.91,few clouds
122,Broken Hill,AU,-31.95,141.4333,305.2,16,97,2.86,overcast clouds
123,Saskylakh,RU,71.9167,114.0833,225.69,100,81,1.62,broken clouds
124,Bograd,RU,54.2344,90.8328,245.27,90,8,1.68,clear sky
125,Margate,GB,51.3813,1.3862,285.3,91,100,3.13,overcast clouds
126,Saint Paul Harbor,US,57.79,-152.4072,275.88,93,100,1.54,overcast clouds
127,Green River,US,41.5286,-109.4662,275.37,94,57,1.64,broken clouds
128,Muli,MV,2.9167,73.5667,300.09,71,89,6.09,overcast clouds
129,Bredasdorp,ZA,-34.5322,20.0403,291.53,74,100,1.21,overcast clouds
130,Severo-Kuril'sk,RU,50.6789,156.125,267.88,60,45,10.28,scattered clouds
131,Tarko-Sale,RU,64.9225,77.785,234.09,97,10,3.6,clear sky
132,Kavieng,PG,-2.5744,150.7967,301.84,71,100,1.81,overcast clouds
133,Namatanai,PG,-3.6667,152.4333,302.37,69,97,1.27,overcast clouds
134,Bilma,NE,18.6853,12.9164,287.58,29,10,3.11,clear sky
135,Uinskoye,RU,56.8817,56.5813,249.91,99,100,3.28,overcast clouds
136,Poum,NC,-20.2333,164.0167,299.35,57,90,4.15,overcast clouds
137,Maxixe,MZ,-23.8597,35.3472,295.55,85,7,2.79,clear sky
138,Firminy,FR,45.3873,4.2907,280.43,76,100,3.09,overcast clouds
139,Shevchenkove,UA,49.6959,37.1735,260.49,58,45,8.38,scattered clouds
140,Tasiilaq,GL,65.6145,-37.6368,262.24,56,16,2.44,few clouds
141,Petropavlovka,RU,50.6114,105.3196,257.79,97,86,0.66,overcast clouds
142,Arlit,NE,18.7369,7.3853,287.58,23,23,3.34,few clouds
143,Zyryanka,RU,65.75,150.85,225.02,99,60,1.55,broken clouds
144,Dubbo,AU,-32.25,148.6167,301.22,39,1,5.14,clear sky
145,Bariloche,AR,-41.1456,-71.3082,283.29,40,20,4.12,few clouds
146,Sikonge,TZ,-5.6333,32.7667,290.67,84,100,1.3,overcast clouds
147,Kumul,CN,42.8,93.45,269.93,48,100,0.93,overcast clouds
148,Leningradskiy,RU,69.3833,178.4167,243.58,98,40,3.73,scattered clouds
149,São Filipe,CV,14.8961,-24.4956,296.85,74,2,4.85,clear sky
150,Marawi,PH,7.9986,124.2928,293.91,95,100,0.34,overcast clouds
151,Pacific Grove,US,36.6177,-121.9166,286.97,74,0,7.15,clear sky
152,Burnie,AU,-41.0667,145.9167,290.55,66,76,5.31,broken clouds
153,Port Elizabeth,ZA,-33.918,25.5701,294.87,95,40,4.12,scattered clouds
154,Barentu,ER,15.1139,37.5928,291.16,66,8,1.29,clear sky
155,Erzin,TR,36.9559,36.2,280.56,50,5,1.21,clear sky
156,Ishigaki,JP,24.3448,124.1572,295.22,73,40,5.66,scattered clouds
157,Port Alfred,ZA,-33.5906,26.891,294.36,97,57,0.45,broken clouds
158,San Quintín,MX,30.4833,-115.95,289.76,85,58,3.5,broken clouds
159,Luanda,AO,-8.8368,13.2343,299.15,78,75,3.09,broken clouds
160,Alofi,NU,-19.0595,-169.9187,298.09,86,100,4.12,shower rain
161,Chifeng,CN,42.2683,118.9636,269.28,57,66,2.57,broken clouds
162,Malinyi,TZ,-8.9333,36.1333,293.61,97,77,0.64,light rain
